Country,BestSeconds,Person
Dominican Rep.,4.61,Cristian Samuel Carrasco Peña
Antarctica,N/A,No Data
Philippines,3.84,Brenton Angelo Lo Wong
Bosnia and Herz.,6.80,Filip Aleksi
Russia,3.72,Timofei Tarasenko
Australia,3.88,Jode Brewster
Turkey,4.79,Ahmet Çınar Ablak
Japan,4.80,Sei Sugama
Uzbekistan,5.72,Umidjon Zafarov
Germany,4.32,Sebastian Weyer
New Caledonia,N/A,No Data
Dem. Rep. Congo,103.79,Danny Kahumba
Belarus,5.98,Platon Dranchuk
Qatar,20.09,Karim Awa
Sudan,12.34,Mohamed Kamal Siddig Mohamed
Kosovo,5.21,Lir Ukaj
Thailand,4.02,Natthaphat Mahtani
North Korea,N/A,No Data
Fr. S. Antarctic Lands,N/A,No Data
Peru,4.65,Robert Yomi Cadenas Nuñez
Poland,3.66,Tymon Kolasiński
United Arab Emirates,7.64,Nasir Ali Mohammed Dawood Abdalla
Morocco,6.43,Mohamed Elkhatri
Iraq,11.31,Furat Gaznai
W. Sahara,N/A,No Data
Albania,7.24,Thomas Mako
Guinea,N/A,No Data
Iceland,6.29,Óskar Pétursson
United States of America,3.13,Max Park
Paraguay,5.37,Kenji Julián Cáceres Matsumoto
Mongolia,4.84,Myagmardorj Ulziijargal
Sierra Leone,N/A,No Data
Somaliland,N/A,No Data
Rwanda,12.32,Imanzi Habonimana
Nigeria,7.17,David Okoro-Sokoh
United Kingdom,3.69,Aidan Grainger
Czechia,4.97,Matj Grohmann
Kenya,8.05,Jay Kuria Muthari
Myanmar,6.03,Sai Nyi Bhone Htut
Croatia,5.55,David Vujasi
Sweden,4.58,Elvin Thorsen
Egypt,6.46,Hannah Nader Eskander
Ethiopia,8.50,Moses Tibeb Firew
Georgia,4.76,Tamar Dolenjishvili
Venezuela,5.84,Louis Rodriguez
eSwatini,N/A,No Data
Belize,5.44,Anthony Brooks
Ghana,8.41,Ransford Gyasi
Uruguay,6.00,Irene Pinto
Mali,N/A,No Data
Hungary,5.13,Gábor Slezák
Botswana,29.35,Thomas ter Haar
Madagascar,7.26,Tolotra Ny Avo Andriamamonjisoa
Afghanistan,9.56,Mohammad Sharif Heydari
Nicaragua,11.08,Roberto Icaza Kinloch
Algeria,6.73,Yassine Bettahar
China,3.05,Xuanyi Geng
Timor-Leste,N/A,No Data
Saudi Arabia,7.73,Hussain Alasiri
Somalia,56.70,Mubarak Ali Jama
Jamaica,17.33,Andre Robinson
Portugal,5.51,Afonso Cláudio Machado
S. Sudan,N/A,No Data
Palestine,6.40,Adam Tiro
Panama,5.98,David Montenegro
Estonia,5.01,Kaur Tuule
Denmark,4.42,Lukas Shelley
Canada,4.13,Arhaan Sareen
Mexico,4.46,Angel Armando Jaime Sánchez
Tajikistan,7.71,Jaloliddin Rasulov
El Salvador,6.63,José Eduardo Palacios Castro
Taiwan,4.15,Kai-Wen Wang
Yemen,11.11,Mohammed Badr Albaram
Brazil,4.37,Caio Hideaki Sato
Guinea-Bissau,N/A,No Data
Cyprus,4.66,Michael Eleftheriades
Spain,4.67,Lorenzo Escobar Kraskouskaya
Côte d'Ivoire,11.90,Brega Zoro Donald Carlos
Gabon,N/A,No Data
Vanuatu,N/A,No Data
Syria,6.88,Ali Ahmad Alchurbaji
Bahamas,11.32,Isabella Young
Togo,9.03,Christian Lacle
Ukraine,4.77,Lev Golub
Bulgaria,5.41,Ivaylo Ivaylov Vichev
North Macedonia,6.48,Aleksandar Dukleski
Eq. Guinea,N/A,No Data
Suriname,9.49,Carmen Liu
Latvia,6.04,Roberts Dreijers
Greenland,N/A,No Data
Senegal,27.11,Amy-Collé Diallo
Burundi,N/A,No Data
South Korea,4.17,Seung Hyuk Nahm
Kazakhstan,4.24,Asset Agabekov
Kuwait,6.38,Ahmad Alolaimi
India,4.74,Hrishikesh Kakati
Ireland,4.33,Ciarán Beahan
Guyana,12.08,Benicio Warwick Khan
Netherlands,4.38,Twan Dullemond
Indonesia,4.42,Firstian Fushada
Armenia,7.24,Grigor Shahverdyan
Serbia,5.57,Matej Marok
Cambodia,6.02,Kotaro Yoshida
Romania,4.07,Ianis Costin Chele
Puerto Rico,N/A,No Data
France,4.44,Juliette Sébastien
Slovakia,5.11,Adam Frátrik
Eritrea,16.21,Smret Abraham
Tunisia,7.29,Moez Boussarsar
Vietnam,4.53,Nguyen Tuan Cong
South Africa,4.86,Daniel Rush
Turkmenistan,9.03,Samat Sahetmyradov
Iran,5.87,Erfan Dehghani
Moldova,6.84,Alex Casian
New Zealand,4.54,Dwyane Ramos
Solomon Is.,N/A,No Data
Angola,8.22,Roger Nataniel Issassa dos Santos
Jordan,5.85,Kamel Hammouri
Montenegro,10.05,Mihailo Seni
Bhutan,13.75,Pema Wangchuk
Colombia,4.52,Juan Miguel Saboya Soto
Tanzania,15.46,Mohammed Mehdi Hussein Murtaza Mohamedali
Luxembourg,8.90,Carlo Glod
Azerbaijan,7.32,Javid Nabizade
Liberia,N/A,No Data
Papua New Guinea,9.81,Joshua Tekwie
Bangladesh,5.23,Mosfikul Islam
Libya,11.90,Ali Shaari
Finland,4.80,Amos Nordman
Costa Rica,6.51,Daniel Josué Sandí Alvarado
Ecuador,5.61,Anthony Gerard Álvarez Ludeña
Uganda,10.82,Shaun Adriel Agaba
