eventId,year,total_solves
333,1982,56
333,2003,398
333bf,2003,2
333fm,2003,2
333oh,2003,23
444,2003,73
444bf,2003,1
555,2003,54
clock,2003,6
magic,2003,18
minx,2003,5
mmagic,2003,15
pyram,2003,6
sq1,2003,4
222,2004,33
333,2004,1775
333bf,2004,18
333fm,2004,10
333ft,2004,2
333oh,2004,197
444,2004,210
444bf,2004,1
555,2004,111
555bf,2004,1
clock,2004,73
magic,2004,143
minx,2004,13
mmagic,2004,8
sq1,2004,21
222,2005,889
333,2005,4656
333bf,2005,95
333fm,2005,15
333ft,2005,25
333mbo,2005,1
333oh,2005,628
444,2005,913
555,2005,309
clock,2005,131
magic,2005,576
minx,2005,27
mmagic,2005,93
pyram,2005,59
sq1,2005,70
222,2006,1623
333,2006,8305
333bf,2006,231
333fm,2006,25
333ft,2006,38
333mbo,2006,24
333oh,2006,1504
444,2006,1659
444bf,2006,4
555,2006,798
555bf,2006,4
clock,2006,225
magic,2006,1171
minx,2006,98
mmagic,2006,411
pyram,2006,233
sq1,2006,154
222,2007,4050
333,2007,16514
333bf,2007,434
333fm,2007,82
333ft,2007,62
333mbf,2007,23
333mbo,2007,102
333oh,2007,4157
444,2007,3069
444bf,2007,16
555,2007,1774
555bf,2007,6
clock,2007,428
magic,2007,1556
minx,2007,276
mmagic,2007,868
pyram,2007,877
sq1,2007,329
222,2008,12643
333,2008,35483
333bf,2008,1093
333fm,2008,265
333ft,2008,156
333mbf,2008,169
333mbo,2008,255
333oh,2008,10368
444,2008,8357
444bf,2008,34
555,2008,4540
555bf,2008,12
clock,2008,877
magic,2008,4721
minx,2008,968
mmagic,2008,1954
pyram,2008,3171
sq1,2008,1425
222,2009,24181
333,2009,63546
333bf,2009,1485
333fm,2009,486
333ft,2009,273
333mbf,2009,247
333mbo,2009,23
333oh,2009,17340
444,2009,16445
444bf,2009,52
555,2009,10553
555bf,2009,16
666,2009,1339
777,2009,1369
clock,2009,2633
magic,2009,11148
minx,2009,2622
mmagic,2009,4045
pyram,2009,8946
sq1,2009,5331
222,2010,41522
333,2010,86440
333bf,2010,2124
333fm,2010,870
333ft,2010,494
333mbf,2010,422
333oh,2010,28307
444,2010,24099
444bf,2010,130
555,2010,14007
555bf,2010,38
666,2010,2200
777,2010,2085
clock,2010,4463
magic,2010,17085
minx,2010,5507
mmagic,2010,7517
pyram,2010,16060
sq1,2010,6415
222,2011,56125
333,2011,106737
333bf,2011,2858
333fm,2011,1070
333ft,2011,1111
333mbf,2011,563
333oh,2011,38047
444,2011,32174
444bf,2011,178
555,2011,17656
555bf,2011,76
666,2011,2487
777,2011,2200
clock,2011,5585
magic,2011,20108
minx,2011,6624
mmagic,2011,10572
pyram,2011,23118
sq1,2011,6500
222,2012,64076
333,2012,114970
333bf,2012,3163
333fm,2012,1350
333ft,2012,1597
333mbf,2012,685
333oh,2012,43737
444,2012,41707
444bf,2012,220
555,2012,24507
555bf,2012,63
666,2012,3952
777,2012,2800
clock,2012,6204
magic,2012,21742
minx,2012,7754
mmagic,2012,14481
pyram,2012,28355
sq1,2012,6755
222,2013,84313
333,2013,151311
333bf,2013,4329
333fm,2013,1481
333ft,2013,1930
333mbf,2013,959
333oh,2013,50227
444,2013,49218
444bf,2013,300
