countryId,personId,name,single_seconds
Afghanistan,2024HEYD02,Mohammad Sharif Heydari,9.56
Afghanistan,2023RASU02,Bawar Rasuli,11.62
Afghanistan,2018TWAI01,Ahmad Fayaz Twaibie,12.37
Afghanistan,2020ASKA01,Aftaab Askary,12.89
Afghanistan,2023MAHB01,Javad Mahbubi,14.37
Afghanistan,2011GHOL02,Alireza Gholami,14.72
Afghanistan,2015HAIW01,Sanzar Haiwad,15.38
Afghanistan,2018RAME07,Hadi Ramezani,16.2
Afghanistan,2024HUSS03,Farshad Hussein Husseini,17.04
Afghanistan,2019HUSS02,Mustafa Hussaini,17.13
Albania,2022MAKO03,Thomas Mako,7.24
Albania,2024ANDO02,Andis Andoni,8.12
Albania,2022SPAH01,Hermes Spahi,9.63
Albania,2022KAPX01,Xhonatan Kapxhiu,10.67
Albania,2022BAHO01,Marin Baholli,11.72
Albania,2024PELL05,Aviel Pellumbi,12.37
Albania,2025BULL07,Kriseld Bullari,12.96
Albania,2018MEMA01,Samuel Mema,14.61
Albania,2018SEVR01,Albi Sevrani,14.87
Albania,2013RUSI01,Alen Rusi,14.96
Algeria,2016YASS01,Yassine Bettahar,6.73
Algeria,2023BOUD02,Abdou El Barri I. H. Boudjeltia,6.93
Algeria,2019BOUC07,Radwan Boucetta,9.55
Algeria,2024MAGE02,Owais Abd Al Mageed,10.1
Algeria,2023ABBA03,Hichem Abdallah Abbas,10.58
Algeria,2025BENN01,Yasser Bennadji,10.79
Algeria,2024KALL06,Joud Al Kalla,10.94
Algeria,2016BAZI03,Tarek Bazizi,11.01
Algeria,2016ISLE01,Mouhamed Islem Boukri,11.48
Algeria,2016AYME01,Aymen Aissaoui,11.5
Andorra,2021SAMP01,Albert Mandic Sampol,7.58
Andorra,2016CASA09,Pau Plana Casas,10.59
Andorra,2016BONS01,Albert Cinca Bons,11.24
Andorra,2015MART27,Ral Martnez Velzquez,16.44
Andorra,2016CARR17,Francesc Martos Carrin,22.13
Andorra,2024LIWA03,Fernando Alexis Eleccion Liwan,22.2
Andorra,2016MACI08,Kevin Ramrez Macas,24.23
Andorra,2016CABA12,Arnau Ferrer Cabanes,24.25
Andorra,2016GONZ56,Aleix Bossa Gonzlez,24.64
Andorra,2019ANGL01,Mart Casals Anglada,24.85
Angola,2023SANT32,Roger Nataniel Issassa dos Santos,8.22
Angola,2023MANU05,Jos Francisco Manuel,8.51
Angola,2023RUSS11,Kiary Roque Russo,9.36
Angola,2023BATA02,Hilton Adolfo Cardoso Batalha,9.42
Angola,2023TCHI01,Andr Firmino Tchivango,9.58
Angola,2025MANU03,Paulo Alberto Zambo Manuel,9.94
Angola,2023BORB01,Jos Carlos Cardoso Borba,10.08
Angola,2023CHAL03,Belarmino Eusbio Chalale,10.09
Angola,2023VUNG03,Daniel Ginina Vunge,10.23
Angola,2023MANU04,Ariclenes Ebenzer Dias Manuel,10.9
Antigua and Barbuda,2024RAGH07,Neel J. Raghani,17.4
Argentina,2017GOLU01,Theo Goluboff,4.49
Argentina,2014BONA02,Bautista Bonazzola,4.72
Argentina,2017GUTM01,Manuel Gutman,4.93
Argentina,2018LAPE01,Gael Augusto Lapeyre,5.31
Argentina,2015MEND08,Ramiro Mendez,5.66
Argentina,2015FONS02,Federico da Fonseca,5.93
Argentina,2018LOPE22,Leandro Martn Lpez,6.27
Argentina,2012HAML01,Francisco Hamlin,6.36
Argentina,2015CLAR03,Andrs Claros,6.46
Argentina,2015LEGU01,Genaro Sahib Leguizamon,6.52
Armenia,2022SHAH29,Grigor Shahverdyan,7.24
Armenia,2015JRAG01,Mayis Jraghatspanyan,7.77
Armenia,2017SMIT15,Jaden Smith,8.44
