Country,BestSeconds,Person
Afghanistan,9.56,Mohammad Sharif Heydari
Albania,7.24,Thomas Mako
Algeria,6.73,Yassine Bettahar
Andorra,7.58,Albert Mandicó Sampol
Angola,8.22,Roger Nataniel Issassa dos Santos
Antigua and Barbuda,17.40,Neel J. Raghani
Argentina,4.49,Theo Goluboff
Armenia,7.24,Grigor Shahverdyan
Australia,3.88,Jode Brewster
Austria,4.72,Alwin Federsel
Azerbaijan,7.32,Javid Nabizade
Bahamas,11.32,Isabella Young
Bahrain,6.21,Hasan Aqeel Nesaif
Bangladesh,5.23,Mosfikul Islam
Barbados,12.93,Lukas Anderson Reece
Belarus,5.98,Platon Dranchuk
Belgium,5.13,Victor Roets
Belize,5.44,Anthony Brooks
Bhutan,13.75,Pema Wangchuk
Bolivia,5.88,Rodrigo Paz Vaca
Bosnia and Herzegovina,6.80,Filip Aleksi
Botswana,29.35,Thomas ter Haar
Brazil,4.37,Caio Hideaki Sato
Brunei,8.27,Ting Kah Lok
Bulgaria,5.41,Ivaylo Ivaylov Vichev
Cambodia,6.02,Kotaro Yoshida
Cameroon,17.93,Johan Alex Tabeko Ngankam
Canada,4.13,Arhaan Sareen
Chile,3.74,Claudio Matias Cancino Bruna
China,3.05,Xuanyi Geng
Chinese Taipei,4.15,Kai-Wen Wang
Colombia,4.52,Juan Miguel Saboya Soto
Congo,19.38,David Nzolanzofou
Costa Rica,6.51,Daniel Josué Sandí Alvarado
Côte d'Ivoire,11.90,Brega Zoro Donald Carlos
Croatia,5.55,David Vujasi
Cuba,7.73,Daniel Orlando Valdes Arzola
Cyprus,4.66,Michael Eleftheriades
Czech Republic,4.97,Matj Grohmann
Democratic Republic of the Congo,103.79,Danny Kahumba
Denmark,4.42,Lukas Shelley
Dominican Republic,4.61,Cristian Samuel Carrasco Peña
Ecuador,5.61,Anthony Gerard Álvarez Ludeña
Egypt,6.46,Hannah Nader Eskander
El Salvador,6.63,José Eduardo Palacios Castro
Eritrea,16.21,Smret Abraham
Estonia,5.01,Kaur Tuule
Ethiopia,8.50,Moses Tibeb Firew
Fiji,11.84,Soham Ronav Ram
Finland,4.80,Amos Nordman
France,4.44,Juliette Sébastien
Georgia,4.76,Tamar Dolenjishvili
Germany,4.32,Sebastian Weyer
Ghana,8.41,Ransford Gyasi
Greece,4.70,Antonie Paterakis
Grenada,42.86,Kamel Ayoub
Guatemala,5.68,Brian Bernabé Bolaños Arreaga
Guyana,12.08,Benicio Warwick Khan
Haiti,8.44,Fan Derlentz Perceval
Honduras,7.01,Miguel Angel Edelman Vindel
